,,
,,
1628,A Comparative Study of Control Techniques for Single Phase Active Power Factor Correction Circuit Topologies,"Duvvapu, Deepak Sai*; Mandal, Krishnendu; Barry, Venugopal Reddy"
1737,High-Power Multi-Voltage EV Fast-Charging System Using an 18-Pulse Transformer,"Mankotia, Rishabh*; Das, Anandarup ; Singh, Bhim"
1882,Adaptive Charging of Lithium-ion Batteries Based on State-of-Charge and Temperature for Enhanced Cycle Life,"Likhar, Yogesh*; Ramteke, Manoj; Keshri, Ritesh"
,,
,,
,,
,,
CRC 5-4,ORAL PRESENTATION #1,"July 9, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
79,A Deep Learning Approach to State of Charge Estimation of Li-ion battery using ARN,"PATIL, ANOOPKUMAR*"
254,State of health estimation of lithium-ion battery using mechanical expansion features and deep learning model,"LAKSHMINARAYANA, BHIMIREDDY*; Singh, Satyavir; Dar, Tasadeek Hassan"
259,Cold Cranking Performance Enhancement in Trucks Using Ultracapacitor Based Energy Systems,"Shetty, Deepak*; Ballal, Makrand Sudhakar "
556,Determining the Most Suitable Electrolyzer Technology for a Hydrogen Storage-Integrated Rural Renewable Energy System,"Sharma, Ritu; Sannigrahi, Surajit*; Roy Ghatak, Sriparna "
583,Soc-aware Capacity Fade Optimization of LiFePO4 Battery in Hybrid Energy Storage System-aided Low Voltage Distribution System,"Prashanth T, Bhanu; Naware, Dipanshu*"
761,A Novel Sorption-Based Passive Cooling Strategy for High-Power Electric Aviation Battery Packs,"Gunti, Seeta*; Zhao, Chunrong; Verstraete, Dries"
,,
,,
,,
,,
CRC 5-4,ORAL PRESENTATION #2,"July 9, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
878,Experimental Electro-Thermal Characterization and Entropy-Based Heat Analysis of an NMC Pouch Cell for Automotive Applications,"Babu, Aswath*; Jose, Parag; Gielinger, Sebastian; Bohn, Gunther"
906,A Novel Low-Computation Parameter Identification Method for Lithium-Ion Cells,"Kannojia, Pushpa*; Ahmad, Aaqib; Teja, Ravi"
918,Machine Learning based SoC and SoH Prediction of NMC Li-Ion Batteries for Electric Vehicle Applications using Pulse Test Profiles,"Chakraborty, Ekarna*; Kundu, Barnali; Shaw, Anshuman; Saha, Debasree; Mukhopadhyay, Manit; Kundu, Suchandra"
928,State of Charge Estimation Using Hyperbolic Sine Based Discrete Time Sliding Mode Observer,"Singh, Vishwa Pal*; Lambe, Amruta; Chakrabarty, Sohom"
1015,Experimental validation of CC-OCV based Kalman Filter for battery SoC Estimation under dynamic operations,"DASARI, SAI RAM SURYA LAKSHMI AVANTHIKA*; Udumula, Ramanjaneya Reddy; Bhamidi, Lokeshgupta"
1049,An Adaptive Objective Function Based Fast Charging for EV Batteries,"Kandula, Hanumantha*"
,,
,,
,,
,,
CRC 5-4,ORAL PRESENTATION #3,"July 10, 2026 | 09:00 AM to 10:30 AM"
Paper ID,Paper Title,Author Names
1382,Effect of JAYA-Based Noise Covariance Optimization on UKF Performance for SOC Estimation in Battery Electric Vehicle Cells,"Patel, Nilaykumar*; Patel, Ankur; Patel, Tigmanshu "
1383,Performance Analysis of Passive Cell Balancing for Identical and Non-Identical Li-ion Cells in Series Battery Packs,"Dasari, Kiran Sai*; Bassapa, Subba Reddy; Mopidevi, Subba Rao"
1525,Real-Time Joint State Estimation for Lithium-Ion Battery Pack Using Capacity Fade Dynamics for Battery Energy Storage Systems,"Mourya, Harsh*; Ranjita, Basitti ; Kumar, Shailendra; Nanaji, Katchala"
1673,Uncertainty-Aware Remaining Useful Life Prediction of Lithium-Ion Batteries Using Voltage Curve–Driven Gaussian Process Regression,"Tripathi, Arbhita*; Choudhary, Vedveer Singh ; Saxena, Saurabh ; Panigrahi, Bijaya Ketan "
1728,CuO Tuned MoS2 Nanostructures Integrated with rGO for Next-Generation Asymmetric Supercapacitor Device and Hydrogen Evolution Reaction application,"Chaudhary, Rahul*; Kumar Sharma, Ashwani; Kumar, Pradeep"
1745,A Comprehensive Review of Solar Power-Based Hydrogen Production Systems,"Das, Soumyabrata*; Gedam, Aryan; Jangilwar, Payal"
,,
,,
,,
,,
CRC 5-4,ORAL PRESENTATION #4,"July 10, 2026 | 02:00 PM to 03:30 PM"
Paper ID,Paper Title,Author Names
667,Comparative Analysis of Machine Learning and Deep Learning Approaches for Lithium-Ion Battery State of Charge Estimation Under Degradation Conditions,"Kamboj, Rahul*; Sharma, Riya; Bhat, Ashiq Nazir; Bala, Anju; Singh, Mukesh ; Singh, Ashima"
881,Practical Deployment of Multi-Modal Sensor Fusion on Autonomous Delivery Robot: Real-World Implementation and Performance Analysis,"JOSHI, HEM*"
1073,Machine Learning Inspired Multi-layer stacked aperture coupled circular antenna for IoT and 6G Communication in Electric Vehicles ,"SINGH, GURPRINCE*; Kumar, Ashwini; Kumar, Ashish; Singh, Manjeet"
1746,Dynamic Modelling and Performance Analysis of an Electric Vehicle Powertrain,"Kaushal, Jitender*"
1865,Intelligent Hybrid Battery Balancing System for Lead-Acid E-Rickshaw Packs,"Garg, Angel*; Singh, Manjeet; Singh, Kulbir"
1892,CNN-GRU Hybrid Architecture for Lithium-Ion Battery State-of-Health Estimation: A Reproducible Multi-Dataset Evaluation,"Sharma, Riya*; Lata, Suman; Kamboj, Rahul; Bhat, Ashiq; Singla, Chaitanya"
,,
,,
,,
,,
CRC 5-4,ORAL PRESENTATION #5,"July 10, 2026 | 04:30 PM to 06:00 PM"
Paper ID,Paper Title,Author Names
141,Perceptual Mapping among Buyers toward Electric Vehicles in India,"Raghuwanshi, Sandeep ; Sikarwar, Priyanka; Thakkar, Axita; Yadav, Archana*; Jani, Shailak; Harsora, Hiren "
1084,Adaptive Q-Learning-Driven PI–PD Control for Unstable Magnetic Levitation Systems Under Stability Region Constraints,"Dwivedi, Akanksha*; Karan, Aditya; Singh, Lalit Kumar; Ali, Ahmad"
1129,K-means Clustering Based Frequency Control for Marine Microgrids,"Waghmare, Akanksha*; Singh, V. P.; Mathur, Akhilesh"
